Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Hills Creek Dam,304 ft (93 m)[191],30[191],Oregon,43°42′33″N 122°25′26″W﻿ / ﻿43.70917°N 122.42389°W,1961[191],USACE,Hills Creek Reservoir,
Lookout Point Dam,276 ft (84 m)[192],150[192],Oregon,43°54′48″N 122°45′09″W﻿ / ﻿43.91333°N 122.75250°W,1954[192],USACE,Lookout Point Lake,
Fall Creek Dam[193],180 ft (55 m),0,Oregon,43°54′49″N 122°45′25″W﻿ / ﻿43.91361°N 122.75694°W,1966,USACE,Fall Creek Reservoir,
Dexter Dam,93 ft (28 m)[192],15[192],Oregon,43°55′22″N 122°48′23″W﻿ / ﻿43.92278°N 122.80639°W,1954[192],USACE,Dexter Reservoir,
