Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Mason Dam[80][81],173 ft (53 m),proposed 3.4[82],Oregon,44°40′12″N 117°59′24″W﻿ / ﻿44.67000°N 117.99000°W,1968,United States Bureau of Reclamation,Philips Lake,Powder River
Thief Valley Dam[81][83],73 ft (22 m),0,Oregon,45°0′36″N 117°46′12″W﻿ / ﻿45.01000°N 117.77000°W,1932,United States Bureau of Reclamation,Thief Valley Reservoir,Powder River
