Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Cottage Grove Dam,95 ft (29 m)[203],0,Oregon,43°42′58″N 123°03′03″W﻿ / ﻿43.71611°N 123.05083°W,1942[203],USACE,Cottage Grove Lake,
Dorena Dam (Row River),145 ft (44 m)[203],7.51[204],Oregon,43°46′48″N 122°57′0″W﻿ / ﻿43.78000°N 122.95000°W,1949[203],USACE,Dorena Lake,
