Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Swift Dam[218],512 ft (156 m),240,Washington,46°04′48″N 122°12′36″W﻿ / ﻿46.08000°N 122.21000°W[219],1958,PacifiCorp,Swift Reservoir,
Swift No. 2 Dam[218],83 ft (25 m)[220],70,Washington,46°03′46″N 122°11′52″W﻿ / ﻿46.06278°N 122.19778°W[220],1959[220],Public Utility District No. 1 of Cowlitz County,,
Yale Dam[218],323 ft (98 m),134,Washington,45°58′48″N 122°20′24″W﻿ / ﻿45.98000°N 122.34000°W[221],1953,PacifiCorp,Yale Lake,
Merwin Dam[218],313 ft (95 m),136,Washington,45°59′24″N 122°28′48″W﻿ / ﻿45.99000°N 122.48000°W[222],1931,PacifiCorp,Lake Merwin,
