Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Wild Horse Dam,114 ft (35 m)[60][61],0,Nevada,41°41′14″N 115°50′43″W﻿ / ﻿41.68722°N 115.84528°W,1937 / 1969[n 13],BIA[63],Wild Horse Reservoir,Owyhee River
Antelope Reservoir Dam (Antelope Creek (Jordan Creek))[64],60 ft (18 m),0,Oregon,42°54′0″N 117°13′48″W﻿ / ﻿42.90000°N 117.23000°W,1923,Jordan Valley Irrigation District,Antelope Reservoir,Owyhee River
Owyhee Dam,417 ft (127 m)[65],"5[n 14],8[n 15],2[n 16]",Oregon,43°38′31″N 117°14′33″W﻿ / ﻿43.64194°N 117.24250°W,1932[65],USBR,Lake Owyhee,Owyhee River
