Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Keechelus Dam,128 ft (39 m)[177],0[178],Washington,47°19′20″N 121°20′22″W﻿ / ﻿47.32222°N 121.33944°W,1917[177],USBR,Raised Keechelus Lake,
Easton Diversion Dam,66 ft (20 m)[179],0[178],Washington,47°14′30″N 121°11′17″W﻿ / ﻿47.24167°N 121.18806°W,1929[180],USBR,Lake Easton,
Unnamed Diversion Dam,,0,Washington,47°03′50″N 120°39′09″W﻿ / ﻿47.06389°N 120.65250°W,,USBR,,
Roza Diversion Dam,67 ft (20 m)[181],12,Washington,46°44′56″N 120°27′56″W﻿ / ﻿46.74889°N 120.46556°W,1939[182],USBR,,
Wapato Dam,19 ft (5.8 m)[183],0,Washington,46°31′27″N 120°28′37″W﻿ / ﻿46.52417°N 120.47694°W,,,Wapato Reservoir,
Sunnyside Dam,8 ft (2.4 m)[177],0[178],Washington,46°29′52″N 120°26′41″W﻿ / ﻿46.49778°N 120.44472°W,1907[184],Sunnyside Valley Irrigation District,,
Prosser Dam,9 ft (2.7 m)[185],0,Washington,46°12′45″N 119°46′22″W﻿ / ﻿46.21250°N 119.77278°W,1904[185],USBR,,
Wannawish Dam,6.6 ft (2.0 m)[186],0,Washington,46°22′43″N 119°25′02″W﻿ / ﻿46.37861°N 119.41722°W,1892[186],,,
