Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Goose Lake Dam (Goose Creek)[58],26 ft (7.9 m),0,Idaho,45°04′13″N 116°10′09″W﻿ / ﻿45.07028°N 116.16917°W,1924,Ca Campbell Company,Goose Lake,Little Salmon River
Brundage Dam (Brundage Creek(Goose Creek))[59],64 ft (20 m),0,Idaho,45°02′30″N 116°07′53″W﻿ / ﻿45.04167°N 116.13139°W,1989,Brundage Reservoir Company,Brundage Reservoir,Little Salmon River
