Name,Height,Capacity (MW),Province/State(s),Coordinates,Year of completion,Owner,Reservoir formed,Image
Clear Creek Dam (North Fork Tieton),83 ft (25 m)[177],0[178],Washington,46°37′40″N 121°16′15″W﻿ / ﻿46.62778°N 121.27083°W,1915[177],USBR,Clear Lake,
Tieton Dam,319 ft (97 m)[177],0[178],Washington,46°39′26″N 121°7′41″W﻿ / ﻿46.65722°N 121.12806°W,1925[177],USBR,Rimrock Lake,
