,Brood Year,Nwr Population Name,Number Of Spawners,Start Year,End Year,Effective Catch,Fracwild
616,1975,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1000.0,1975.0,2008.0,1851.0,1.0
617,1976,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,470.0,1975.0,2008.0,617.0,1.0
618,1977,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,600.0,1975.0,2008.0,1097.0,1.0
619,1978,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,1011.0,1.0
620,1979,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,500.0,1975.0,2008.0,514.0,1.0
621,1980,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,450.0,1975.0,2008.0,159.0,1.0
622,1981,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,340.0,1975.0,2008.0,150.0,1.0
623,1982,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,720.0,1975.0,2008.0,200.0,1.0
624,1983,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,540.0,1975.0,2008.0,267.0,0.79
625,1984,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1975.0,2008.0,433.0,0.51
626,1985,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,691.0,1975.0,2008.0,498.0,0.63
627,1986,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,784.0,1975.0,2008.0,1366.0,0.57
628,1987,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,951.0,1975.0,2008.0,793.0,0.27
629,1988,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,627.0,1975.0,2008.0,1555.0,0.59
630,1989,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,706.0,1975.0,2008.0,955.0,0.42
631,1990,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,335.0,1975.0,2008.0,270.0,0.23
632,1991,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,590.0,1975.0,2008.0,638.0,0.54
633,1992,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,668.0,1975.0,2008.0,893.0,0.82
634,1993,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,952.0,1975.0,2008.0,1284.0,0.78
635,1994,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,606.0,1975.0,2008.0,373.0,0.67
636,1995,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,637.0,1975.0,2008.0,263.0,0.55
637,1996,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,919.0,1975.0,2008.0,392.0,0.7
638,1997,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1007.0,1975.0,2008.0,784.0,0.79
639,1998,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,962.0,1975.0,2008.0,218.0,0.32
640,1999,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1862.0,1975.0,2008.0,861.0,0.49
641,2000,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,2664.0,1975.0,2008.0,978.0,0.43
642,2001,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,9875.0,1975.0,2008.0,3171.0,0.52
643,2002,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,9891.0,1975.0,2008.0,1891.0,0.21
644,2003,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,13104.0,1975.0,2008.0,3036.0,0.29
645,2004,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,13146.0,1975.0,2008.0,2659.0,0.23
646,2005,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,10194.0,1975.0,2008.0,3222.0,0.26
647,2006,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,7784.0,1975.0,2008.0,2808.0,0.32
648,2007,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,10327.0,1975.0,2008.0,1476.0,0.17
649,2008,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,17266.0,1975.0,2008.0,1555.0,0.11
660,1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,122.0,1955.0,2009.0,,1.0
661,1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,2606.0,1955.0,2009.0,,1.0
662,1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1754.0,1955.0,2009.0,,1.0
663,1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,486.0,1955.0,2009.0,1760.0,1.0
664,1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,712.0,1955.0,2009.0,1560.0,1.0
665,1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,3161.0,1955.0,2009.0,4444.0,1.0
666,1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,347.0,1955.0,2009.0,378.0,1.0
667,1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1146.0,1955.0,2009.0,3134.0,1.0
668,1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,313.0,1955.0,2009.0,528.0,1.0
669,1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,208.0,1955.0,2009.0,1038.0,1.0
670,1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,770.0,1955.0,2009.0,1452.0,1.0
671,1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,626.0,1955.0,2009.0,2057.0,1.0
672,1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1625.0,1955.0,2009.0,1963.0,1.0
673,1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,822.0,1955.0,2009.0,592.0,1.0
674,1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1882.0,1955.0,2009.0,1153.0,1.0
675,1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,992.0,1955.0,2009.0,711.0,1.0
676,1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,2319.0,1955.0,2009.0,1190.0,1.0
677,1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1106.0,1955.0,2009.0,1086.0,1.0
678,1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1855.0,1955.0,2009.0,2783.0,1.0
679,1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,753.0,1955.0,2009.0,429.0,1.0
680,1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,399.0,1955.0,2009.0,0.0,1.0
681,1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1028.0,1955.0,2009.0,4.0,1.0
682,1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,104.0,1955.0,2009.0,362.0,1.0
683,1978,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,878.0,1955.0,2009.0,55.0,1.0
684,1979,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,579.0,1955.0,2009.0,24.0,1.0
685,1980,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1034.0,1955.0,2009.0,32.0,1.0
686,1981,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,275.0,1955.0,2009.0,18.0,1.0
687,1982,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,745.0,1955.0,2009.0,66.0,1.0
688,1983,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,733.0,1955.0,2009.0,73.0,1.0
689,1984,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,378.0,1955.0,2009.0,42.0,1.0
690,1985,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,386.0,1955.0,2009.0,27.0,1.0
691,1986,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,399.0,1955.0,2009.0,26.0,0.8
692,1987,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,685.0,1955.0,2009.0,13.0,0.22
693,1988,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,690.0,1955.0,2009.0,24.0,0.24
694,1989,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,191.0,1955.0,2009.0,7.0,0.38
695,1990,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,145.0,1955.0,2009.0,0.0,0.0
696,1991,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,64.0,1955.0,2009.0,0.0,0.13
697,1992,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,162.0,1955.0,2009.0,3.0,0.25
698,1993,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,268.0,1955.0,2009.0,7.0,0.4
699,1994,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,28.0,1955.0,2009.0,1.0,0.5
700,1995,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,38.0,1955.0,2009.0,1.0,1.0
701,1996,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,35.0,1955.0,2009.0,1.0,1.0
702,1997,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,103.0,1955.0,2009.0,7.0,1.0
703,1998,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,91.0,1955.0,2009.0,5.0,1.0
704,1999,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,43.0,1955.0,2009.0,1.0,1.0
705,2000,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,58.0,1955.0,2009.0,3.0,1.0
706,2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,512.0,1955.0,2009.0,64.0,0.77
707,2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,430.0,1955.0,2009.0,34.0,0.5
708,2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,424.0,1955.0,2009.0,22.0,0.41
709,2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,215.0,1955.0,2009.0,6.0,0.17
710,2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,143.0,1955.0,2009.0,3.0,0.26
711,2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,251.0,1955.0,2009.0,8.0,0.37
712,2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,171.0,1955.0,2009.0,6.0,0.29
713,2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,216.0,1955.0,2009.0,16.0,0.35
714,2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,275.0,1955.0,2009.0,,0.46
715,1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,56.0,1955.0,2009.0,,1.0
716,1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,40.0,1955.0,2009.0,,1.0
717,1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,532.0,1955.0,2009.0,739.0,1.0
718,1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,,1955.0,2009.0,,-99.0
719,1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,178.0,1955.0,2009.0,464.0,1.0
720,1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,346.0,1955.0,2009.0,414.0,1.0
721,1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,578.0,1955.0,2009.0,476.0,1.0
722,1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,972.0,1955.0,2009.0,1619.0,1.0
723,1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,115.0,1955.0,2009.0,283.0,1.0
724,1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,550.0,1955.0,2009.0,790.0,1.0
725,1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,620.0,1955.0,2009.0,1292.0,1.0
726,1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,508.0,1955.0,2009.0,625.0,1.0
727,1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,768.0,1955.0,2009.0,926.0,1.0
728,1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,1014.0,1955.0,2009.0,615.0,1.0
729,1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,1028.0,1955.0,2009.0,572.0,1.0
730,1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,418.0,1955.0,2009.0,352.0,1.0
731,1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,644.0,1955.0,2009.0,295.0,1.0
732,1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,611.0,1955.0,2009.0,594.0,1.0
733,1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,252.0,1955.0,2009.0,312.0,1.0
734,1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,277.0,1955.0,2009.0,154.0,1.0
735,1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,219.0,1955.0,2009.0,0.0,1.0
736,1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,324.0,1955.0,2009.0,1.0,1.0
737,1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,592.0,1955.0,2009.0,296.0,1.0
738,1978,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,216.0,1955.0,2009.0,13.0,1.0
739,1979,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,24.0,1955.0,2009.0,1.0,1.0
740,1980,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,164.0,1955.0,2009.0,5.0,1.0
741,1981,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,224.0,1955.0,2009.0,14.0,1.0
742,1982,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,160.0,1955.0,2009.0,13.0,1.0
743,1983,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,190.0,1955.0,2009.0,19.0,1.0
744,1984,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,150.0,1955.0,2009.0,16.0,1.0
745,1985,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,344.0,1955.0,2009.0,24.0,1.0
746,1986,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,214.0,1955.0,2009.0,15.0,0.86
747,1987,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,707.0,1955.0,2009.0,10.0,0.18
748,1988,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,553.0,1955.0,2009.0,6.0,0.08
749,1989,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,3.0,1955.0,2009.0,0.0,0.0
750,1990,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,105.0,1955.0,2009.0,7.0,0.5
751,1991,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,44.0,1955.0,2009.0,2.0,0.6
752,1992,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,393.0,1955.0,2009.0,6.0,0.21
753,1993,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,332.0,1955.0,2009.0,5.0,0.23
754,1994,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,12.0,1955.0,2009.0,0.0,0.33
755,1995,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,22.0,1955.0,2009.0,1.0,1.0
756,1996,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,70.0,1955.0,2009.0,3.0,1.0
757,1997,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,61.0,1955.0,2009.0,4.0,1.0
758,1998,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,83.0,1955.0,2009.0,5.0,1.0
759,1999,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,3.0,1955.0,2009.0,0.0,1.0
760,2000,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,45.0,1955.0,2009.0,2.0,1.0
761,2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,50.0,1955.0,2009.0,8.0,1.0
762,2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,54.0,1955.0,2009.0,7.0,0.95
763,2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,174.0,1955.0,2009.0,14.0,0.81
764,2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,589.0,1955.0,2009.0,3.0,0.05
765,2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,318.0,1955.0,2009.0,1.0,0.04
766,2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,55.0,1955.0,2009.0,2.0,0.48
767,2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,17.0,1955.0,2009.0,1.0,0.84
768,2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,418.0,1955.0,2009.0,8.0,0.15
769,2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,121.0,1955.0,2009.0,,0.15
770,1949,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1938.0,1949.0,2009.0,,1.0
771,1950,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1024.0,1949.0,2009.0,,1.0
772,1951,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1761.0,1949.0,2009.0,,1.0
773,1952,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3574.0,1949.0,2009.0,,1.0
774,1953,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2920.0,1949.0,2009.0,,1.0
775,1954,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3054.0,1949.0,2009.0,,1.0
776,1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,5856.0,1949.0,2009.0,,1.0
777,1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1728.0,1949.0,2009.0,,1.0
778,1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,6267.0,1949.0,2009.0,4958.0,1.0
779,1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1399.0,1949.0,2009.0,2069.0,1.0
780,1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,965.0,1949.0,2009.0,1726.0,1.0
781,1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2710.0,1949.0,2009.0,2835.0,1.0
782,1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1854.0,1949.0,2009.0,1559.0,1.0
783,1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2081.0,1949.0,2009.0,1478.0,1.0
784,1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1116.0,1949.0,2009.0,1026.0,1.0
785,1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2097.0,1949.0,2009.0,1167.0,1.0
786,1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1586.0,1949.0,2009.0,934.0,1.0
787,1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1871.0,1949.0,2009.0,507.0,1.0
788,1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1804.0,1949.0,2009.0,837.0,1.0
789,1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2022.0,1949.0,2009.0,728.0,1.0
790,1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2534.0,1949.0,2009.0,729.0,1.0
791,1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1477.0,1949.0,2009.0,555.0,1.0
792,1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3071.0,1949.0,2009.0,1015.0,1.0
793,1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2819.0,1949.0,2009.0,1208.0,1.0
794,1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,4363.0,1949.0,2009.0,2235.0,1.0
795,1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2324.0,1949.0,2009.0,468.0,1.0
796,1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1250.0,1949.0,2009.0,1.0,1.0
797,1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1065.0,1949.0,2009.0,3.0,1.0
798,1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1200.0,1949.0,2009.0,339.0,1.0
799,1978,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3482.0,1949.0,2009.0,150.0,1.0
800,1979,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,436.0,1949.0,2009.0,17.0,1.0
801,1980,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,336.0,1949.0,2009.0,11.0,1.0
802,1981,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,831.0,1949.0,2009.0,48.0,1.0
803,1982,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1082.0,1949.0,2009.0,75.0,1.0
804,1983,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,797.0,1949.0,2009.0,44.0,1.0
805,1984,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,948.0,1949.0,2009.0,57.0,1.0
806,1985,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1592.0,1949.0,2009.0,77.0,0.92
807,1986,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,769.0,1949.0,2009.0,46.0,0.94
808,1987,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,503.0,1949.0,2009.0,31.0,0.9
809,1988,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,704.0,1949.0,2009.0,55.0,0.85
810,1989,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,347.0,1949.0,2009.0,11.0,0.73
811,1990,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,387.0,1949.0,2009.0,12.0,0.51
812,1991,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,493.0,1949.0,2009.0,12.0,0.45
813,1992,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,758.0,1949.0,2009.0,7.0,0.24
814,1993,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1106.0,1949.0,2009.0,20.0,0.39
815,1994,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,258.0,1949.0,2009.0,8.0,0.56
816,1995,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,313.0,1949.0,2009.0,2.0,0.56
817,1996,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,386.0,1949.0,2009.0,11.0,0.76
818,1997,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,469.0,1949.0,2009.0,6.0,0.35
819,1998,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,387.0,1949.0,2009.0,6.0,0.47
820,1999,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,864.0,1949.0,2009.0,11.0,0.5
821,2000,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1277.0,1949.0,2009.0,13.0,0.49
822,2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2282.0,1949.0,2009.0,95.0,0.51
823,2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2875.0,1949.0,2009.0,87.0,0.38
824,2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2811.0,1949.0,2009.0,108.0,0.51
825,2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1462.0,1949.0,2009.0,23.0,0.35
826,2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,748.0,1949.0,2009.0,12.0,0.35
827,2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,727.0,1949.0,2009.0,11.0,0.31
828,2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,737.0,1949.0,2009.0,7.0,0.21
829,2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1996.0,1949.0,2009.0,15.0,0.14
830,2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1962.0,1949.0,2009.0,,0.22
831,1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,657.0,1959.0,2009.0,1125.0,1.0
832,1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,606.0,1959.0,2009.0,727.0,1.0
833,1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,281.0,1959.0,2009.0,238.0,1.0
834,1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,338.0,1959.0,2009.0,403.0,1.0
835,1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,1104.0,1959.0,2009.0,1602.0,1.0
836,1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,1585.0,1959.0,2009.0,2066.0,1.0
