Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior
1978,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,1.0,640.0,600.0,470.0,1000.0
1979,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,500.0,1.0,500.0,640.0,600.0,470.0
1980,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,450.0,1.0,450.0,500.0,640.0,600.0
1981,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,340.0,1.0,340.0,450.0,500.0,640.0
1982,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,720.0,1.0,720.0,340.0,450.0,500.0
1983,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,540.0,0.79,426.6,720.0,340.0,450.0
1984,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,640.0,0.51,326.4,426.6,720.0,340.0
1985,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,691.0,0.63,435.33,326.4,426.6,720.0
1986,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,784.0,0.57,446.87999999999994,435.33,326.4,426.6
1987,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,951.0,0.27,256.77000000000004,446.87999999999994,435.33,326.4
1988,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,627.0,0.59,369.93,256.77000000000004,446.87999999999994,435.33
1989,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,706.0,0.42,296.52,369.93,256.77000000000004,446.87999999999994
1990,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,335.0,0.23,77.05,296.52,369.93,256.77000000000004
1991,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,590.0,0.54,318.6,77.05,296.52,369.93
1992,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,668.0,0.82,547.76,318.6,77.05,296.52
1993,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,952.0,0.78,742.5600000000001,547.76,318.6,77.05
1994,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,606.0,0.67,406.02000000000004,742.5600000000001,547.76,318.6
1995,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,637.0,0.55,350.35,406.02000000000004,742.5600000000001,547.76
1996,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,919.0,0.7,643.3,350.35,406.02000000000004,742.5600000000001
1997,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1007.0,0.79,795.5300000000001,643.3,350.35,406.02000000000004
1998,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,962.0,0.32,307.84000000000003,795.5300000000001,643.3,350.35
1999,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,1862.0,0.49,912.38,307.84000000000003,795.5300000000001,643.3
2000,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,2664.0,0.43,1145.52,912.38,307.84000000000003,795.5300000000001
2001,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,9875.0,0.52,5135.0,1145.52,912.38,307.84000000000003
2002,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,9891.0,0.21,2077.11,5135.0,1145.52,912.38
2003,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,13104.0,0.29,3800.16,2077.11,5135.0,1145.52
2004,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,13146.0,0.23,3023.58,3800.16,2077.11,5135.0
2005,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,10194.0,0.26,2650.44,3023.58,3800.16,2077.11
2006,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,7784.0,0.32,2490.88,2650.44,3023.58,3800.16
2007,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,10327.0,0.17,1755.5900000000001,2490.88,2650.44,3023.58
2008,Chinook Salmon (Snake River Fall-run ESU) - Snake River Lower Mainstem,17266.0,0.11,1899.26,1755.5900000000001,2490.88,2650.44
1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,122.0,1.0,122.0,1899.26,1755.5900000000001,2490.88
1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,2606.0,1.0,2606.0,122.0,1899.26,1755.5900000000001
1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1754.0,1.0,1754.0,2606.0,122.0,1899.26
1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,486.0,1.0,486.0,1754.0,2606.0,122.0
1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,712.0,1.0,712.0,486.0,1754.0,2606.0
1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,3161.0,1.0,3161.0,712.0,486.0,1754.0
1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,347.0,1.0,347.0,3161.0,712.0,486.0
1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1146.0,1.0,1146.0,347.0,3161.0,712.0
1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,313.0,1.0,313.0,1146.0,347.0,3161.0
1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,208.0,1.0,208.0,313.0,1146.0,347.0
1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,770.0,1.0,770.0,208.0,313.0,1146.0
1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,626.0,1.0,626.0,770.0,208.0,313.0
1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1625.0,1.0,1625.0,626.0,770.0,208.0
1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,822.0,1.0,822.0,1625.0,626.0,770.0
1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1882.0,1.0,1882.0,822.0,1625.0,626.0
1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,992.0,1.0,992.0,1882.0,822.0,1625.0
1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,2319.0,1.0,2319.0,992.0,1882.0,822.0
1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1106.0,1.0,1106.0,2319.0,992.0,1882.0
1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1855.0,1.0,1855.0,1106.0,2319.0,992.0
1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,753.0,1.0,753.0,1855.0,1106.0,2319.0
1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,399.0,1.0,399.0,753.0,1855.0,1106.0
1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1028.0,1.0,1028.0,399.0,753.0,1855.0
1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,104.0,1.0,104.0,1028.0,399.0,753.0
1978,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,878.0,1.0,878.0,104.0,1028.0,399.0
1979,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,579.0,1.0,579.0,878.0,104.0,1028.0
1980,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,1034.0,1.0,1034.0,579.0,878.0,104.0
1981,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,275.0,1.0,275.0,1034.0,579.0,878.0
1982,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,745.0,1.0,745.0,275.0,1034.0,579.0
1983,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,733.0,1.0,733.0,745.0,275.0,1034.0
1984,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,378.0,1.0,378.0,733.0,745.0,275.0
1985,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,386.0,1.0,386.0,378.0,733.0,745.0
1986,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,399.0,0.8,319.20000000000005,386.0,378.0,733.0
1987,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,685.0,0.22,150.7,319.20000000000005,386.0,378.0
1988,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,690.0,0.24,165.6,150.7,319.20000000000005,386.0
1989,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,191.0,0.38,72.58,165.6,150.7,319.20000000000005
1990,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,145.0,0.0,0.0,72.58,165.6,150.7
1991,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,64.0,0.13,8.32,0.0,72.58,165.6
1992,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,162.0,0.25,40.5,8.32,0.0,72.58
1993,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,268.0,0.4,107.2,40.5,8.32,0.0
1994,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,28.0,0.5,14.0,107.2,40.5,8.32
1995,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,38.0,1.0,38.0,14.0,107.2,40.5
1996,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,35.0,1.0,35.0,38.0,14.0,107.2
1997,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,103.0,1.0,103.0,35.0,38.0,14.0
1998,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,91.0,1.0,91.0,103.0,35.0,38.0
1999,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,43.0,1.0,43.0,91.0,103.0,35.0
2000,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,58.0,1.0,58.0,43.0,91.0,103.0
2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,512.0,0.77,394.24,58.0,43.0,91.0
2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,430.0,0.5,215.0,394.24,58.0,43.0
2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,424.0,0.41,173.84,215.0,394.24,58.0
2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,215.0,0.17,36.550000000000004,173.84,215.0,394.24
2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,143.0,0.26,37.18,36.550000000000004,173.84,215.0
2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,251.0,0.37,92.87,37.18,36.550000000000004,173.84
2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,171.0,0.29,49.589999999999996,92.87,37.18,36.550000000000004
2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,216.0,0.35,75.6,49.589999999999996,92.87,37.18
2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Catherine Creek,275.0,0.46,126.5,75.6,49.589999999999996,92.87
1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,56.0,1.0,56.0,126.5,75.6,49.589999999999996
1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,40.0,1.0,40.0,56.0,126.5,75.6
1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,532.0,1.0,532.0,40.0,56.0,126.5
1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,178.0,1.0,178.0,532.0,40.0,56.0
1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,346.0,1.0,346.0,178.0,532.0,40.0
1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,578.0,1.0,578.0,346.0,178.0,532.0
1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,972.0,1.0,972.0,578.0,346.0,178.0
1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,115.0,1.0,115.0,972.0,578.0,346.0
1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,550.0,1.0,550.0,115.0,972.0,578.0
1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,620.0,1.0,620.0,550.0,115.0,972.0
1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,508.0,1.0,508.0,620.0,550.0,115.0
1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,768.0,1.0,768.0,508.0,620.0,550.0
1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,1014.0,1.0,1014.0,768.0,508.0,620.0
1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,1028.0,1.0,1028.0,1014.0,768.0,508.0
1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,418.0,1.0,418.0,1028.0,1014.0,768.0
1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,644.0,1.0,644.0,418.0,1028.0,1014.0
1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,611.0,1.0,611.0,644.0,418.0,1028.0
1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,252.0,1.0,252.0,611.0,644.0,418.0
1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,277.0,1.0,277.0,252.0,611.0,644.0
1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,219.0,1.0,219.0,277.0,252.0,611.0
1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,324.0,1.0,324.0,219.0,277.0,252.0
1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,592.0,1.0,592.0,324.0,219.0,277.0
1978,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,216.0,1.0,216.0,592.0,324.0,219.0
1979,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,24.0,1.0,24.0,216.0,592.0,324.0
1980,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,164.0,1.0,164.0,24.0,216.0,592.0
1981,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,224.0,1.0,224.0,164.0,24.0,216.0
1982,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,160.0,1.0,160.0,224.0,164.0,24.0
1983,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,190.0,1.0,190.0,160.0,224.0,164.0
1984,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,150.0,1.0,150.0,190.0,160.0,224.0
1985,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,344.0,1.0,344.0,150.0,190.0,160.0
1986,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,214.0,0.86,184.04,344.0,150.0,190.0
1987,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,707.0,0.18,127.25999999999999,184.04,344.0,150.0
1988,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,553.0,0.08,44.24,127.25999999999999,184.04,344.0
1989,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,3.0,0.0,0.0,44.24,127.25999999999999,184.04
1990,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,105.0,0.5,52.5,0.0,44.24,127.25999999999999
1991,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,44.0,0.6,26.4,52.5,0.0,44.24
1992,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,393.0,0.21,82.53,26.4,52.5,0.0
1993,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,332.0,0.23,76.36,82.53,26.4,52.5
1994,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,12.0,0.33,3.96,76.36,82.53,26.4
1995,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,22.0,1.0,22.0,3.96,76.36,82.53
1996,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,70.0,1.0,70.0,22.0,3.96,76.36
1997,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,61.0,1.0,61.0,70.0,22.0,3.96
1998,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,83.0,1.0,83.0,61.0,70.0,22.0
1999,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,3.0,1.0,3.0,83.0,61.0,70.0
2000,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,45.0,1.0,45.0,3.0,83.0,61.0
2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,50.0,1.0,50.0,45.0,3.0,83.0
2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,54.0,0.95,51.3,50.0,45.0,3.0
2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,174.0,0.81,140.94,51.3,50.0,45.0
2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,589.0,0.05,29.450000000000003,140.94,51.3,50.0
2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,318.0,0.04,12.72,29.450000000000003,140.94,51.3
2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,55.0,0.48,26.4,12.72,29.450000000000003,140.94
2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,17.0,0.84,14.28,26.4,12.72,29.450000000000003
2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,418.0,0.15,62.699999999999996,14.28,26.4,12.72
2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Grande Ronde River Upper Mainstem,121.0,0.15,18.15,62.699999999999996,14.28,26.4
1949,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1938.0,1.0,1938.0,18.15,62.699999999999996,14.28
1950,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1024.0,1.0,1024.0,1938.0,18.15,62.699999999999996
1951,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1761.0,1.0,1761.0,1024.0,1938.0,18.15
1952,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3574.0,1.0,3574.0,1761.0,1024.0,1938.0
1953,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2920.0,1.0,2920.0,3574.0,1761.0,1024.0
1954,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3054.0,1.0,3054.0,2920.0,3574.0,1761.0
1955,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,5856.0,1.0,5856.0,3054.0,2920.0,3574.0
1956,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1728.0,1.0,1728.0,5856.0,3054.0,2920.0
1957,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,6267.0,1.0,6267.0,1728.0,5856.0,3054.0
1958,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1399.0,1.0,1399.0,6267.0,1728.0,5856.0
1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,965.0,1.0,965.0,1399.0,6267.0,1728.0
1960,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2710.0,1.0,2710.0,965.0,1399.0,6267.0
1961,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1854.0,1.0,1854.0,2710.0,965.0,1399.0
1962,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2081.0,1.0,2081.0,1854.0,2710.0,965.0
1963,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1116.0,1.0,1116.0,2081.0,1854.0,2710.0
1964,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2097.0,1.0,2097.0,1116.0,2081.0,1854.0
1965,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1586.0,1.0,1586.0,2097.0,1116.0,2081.0
1966,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1871.0,1.0,1871.0,1586.0,2097.0,1116.0
1967,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1804.0,1.0,1804.0,1871.0,1586.0,2097.0
1968,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2022.0,1.0,2022.0,1804.0,1871.0,1586.0
1969,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2534.0,1.0,2534.0,2022.0,1804.0,1871.0
1970,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1477.0,1.0,1477.0,2534.0,2022.0,1804.0
1971,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3071.0,1.0,3071.0,1477.0,2534.0,2022.0
1972,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2819.0,1.0,2819.0,3071.0,1477.0,2534.0
1973,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,4363.0,1.0,4363.0,2819.0,3071.0,1477.0
1974,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2324.0,1.0,2324.0,4363.0,2819.0,3071.0
1975,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1250.0,1.0,1250.0,2324.0,4363.0,2819.0
1976,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1065.0,1.0,1065.0,1250.0,2324.0,4363.0
1977,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1200.0,1.0,1200.0,1065.0,1250.0,2324.0
1978,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,3482.0,1.0,3482.0,1200.0,1065.0,1250.0
1979,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,436.0,1.0,436.0,3482.0,1200.0,1065.0
1980,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,336.0,1.0,336.0,436.0,3482.0,1200.0
1981,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,831.0,1.0,831.0,336.0,436.0,3482.0
1982,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1082.0,1.0,1082.0,831.0,336.0,436.0
1983,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,797.0,1.0,797.0,1082.0,831.0,336.0
1984,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,948.0,1.0,948.0,797.0,1082.0,831.0
1985,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1592.0,0.92,1464.64,948.0,797.0,1082.0
1986,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,769.0,0.94,722.86,1464.64,948.0,797.0
1987,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,503.0,0.9,452.7,722.86,1464.64,948.0
1988,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,704.0,0.85,598.4,452.7,722.86,1464.64
1989,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,347.0,0.73,253.31,598.4,452.7,722.86
1990,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,387.0,0.51,197.37,253.31,598.4,452.7
1991,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,493.0,0.45,221.85,197.37,253.31,598.4
1992,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,758.0,0.24,181.92,221.85,197.37,253.31
1993,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1106.0,0.39,431.34000000000003,181.92,221.85,197.37
1994,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,258.0,0.56,144.48000000000002,431.34000000000003,181.92,221.85
1995,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,313.0,0.56,175.28000000000003,144.48000000000002,431.34000000000003,181.92
1996,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,386.0,0.76,293.36,175.28000000000003,144.48000000000002,431.34000000000003
1997,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,469.0,0.35,164.14999999999998,293.36,175.28000000000003,144.48000000000002
1998,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,387.0,0.47,181.89,164.14999999999998,293.36,175.28000000000003
1999,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,864.0,0.5,432.0,181.89,164.14999999999998,293.36
2000,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1277.0,0.49,625.73,432.0,181.89,164.14999999999998
2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2282.0,0.51,1163.82,625.73,432.0,181.89
2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2875.0,0.38,1092.5,1163.82,625.73,432.0
2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2811.0,0.51,1433.6100000000001,1092.5,1163.82,625.73
2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1462.0,0.35,511.7,1433.6100000000001,1092.5,1163.82
2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,748.0,0.35,261.8,511.7,1433.6100000000001,1092.5
2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,727.0,0.31,225.37,261.8,511.7,1433.6100000000001
2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,737.0,0.21,154.76999999999998,225.37,261.8,511.7
2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1996.0,0.14,279.44000000000005,154.76999999999998,225.37,261.8
2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1962.0,0.22,431.64,279.44000000000005,154.76999999999998,225.37
1959,Chinook Salmon (Snake River Spring/Summer-run ESU) - Lostine River,657.0,1.0,657.0,431.64,279.44000000000005,154.76999999999998
