Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior,Predicted_Wild_Spawners
2001,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2957.0,0.28,827.96,441.38,121.03,139.08,295.41124890974606
2002,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1613.0,0.41,661.33,827.96,441.38,121.03,342.49078134413867
2003,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,595.0,0.61,362.95,661.33,827.96,441.38,409.6204043529142
2004,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1608.0,0.62,996.96,362.95,661.33,827.96,357.49895834591007
2005,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1472.0,0.2,294.4,996.96,362.95,661.33,268.56551716895774
2006,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,940.0,0.33,310.2,294.4,996.96,362.95,321.340256118885
2007,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2006.0,0.2,401.2,310.2,294.4,996.96,184.2595187137049
2008,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2140.0,0.18,385.2,401.2,310.2,294.4,101.54638865408197
2009,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2195.0,0.27,592.65,598.25,596.42,336.0,138.85783955552324
2010,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1759.0,0.3,527.7,592.65,598.25,596.42,124.19107730545511
2011,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2990.0,0.41,1225.9,968.22,294.3,20.0,-7.279529696839745
