Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Wild_Spawners_Prev_Yr,Wild_Spawners_Two_Yrs_Prior,Wild_Spawners_Three_Yrs_Prior,Predicted_Wild_Spawners
2001,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2957.0,0.28,827.96,441.38,121.03,139.08,562.9970504245941
2002,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1613.0,0.41,661.33,827.96,441.38,121.03,787.0413548516826
2003,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,595.0,0.61,362.95,661.33,827.96,441.38,919.5233904407918
2004,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1608.0,0.62,996.96,362.95,661.33,827.96,798.964038585679
2005,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1472.0,0.2,294.4,996.96,362.95,661.33,825.4797035532031
2006,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,940.0,0.33,310.2,294.4,996.96,362.95,893.4367824854687
2007,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2006.0,0.2,401.2,310.2,294.4,996.96,646.2754093387227
2008,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2140.0,0.18,385.2,401.2,310.2,294.4,637.9389620007114
2009,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2195.0,0.27,592.65,598.25,596.42,336.0,804.6212772125931
2010,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,1759.0,0.3,527.7,592.65,598.25,596.42,817.755239666423
2011,Chinook Salmon (Upper Columbia River Spring-run ESU) - Wenatchee River,2990.0,0.41,1225.9,968.22,294.3,20.0,756.675008064771
