Brood_Year,Nwr_Population_Name,Number_Of_Spawners,Fracwild,Wild_Spawners,Predicted_Wild_Spawners
2001,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2282.0,0.51,1163.82,372.7328361129621
2002,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2875.0,0.38,1092.5,418.8558006425592
2003,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2811.0,0.51,1433.61,512.4300610356877
2004,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1462.0,0.35,511.7,516.3233149004081
2005,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,748.0,0.35,261.8,515.3017397594376
2006,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,727.0,0.31,225.37,298.29403676501533
2007,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,737.0,0.21,154.77,136.46274083781464
2008,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1996.0,0.14,279.44,71.56844541977625
2009,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,1962.0,0.22,431.64,23.07029273941589
2010,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2743.0,0.27,740.61,573.9504336781538
2011,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,2266.0,0.39,883.74,894.0589850762044
2012,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,NaN,NaN,NaN,82.87129576956795
2013,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,NaN,NaN,NaN,74.02914098389738
2014,Chinook Salmon (Snake River Spring/Summer-run ESU) - Imnaha River Mainstem,NaN,NaN,NaN,-117.62268115025654
